Atlanta Hawks,104.1
Boston Celtics,104.3
Brooklyn Nets,102.7
Charlotte Hornets,104.2
Chicago Bulls,101.6
Cleveland Cavaliers,109.7
Dallas Mavericks,104.7
Denver Nuggets,106.4
Detroit Pistons,104.2
Golden State Warriors,113.6
Houston Rockets,112.5
Indiana Pacers,107.8
Los Angeles Clippers,107.0
Los Angeles Lakers,101.1
Memphis Grizzlies,103.3
Miami Heat,103.7
Milwaukee Bucks,107.4
Minnesota Timberwolves,110.4
New Orleans Pelicans,108.2
New York Knicks,104.7
Oklahoma City Thunder,105.4
Orlando Magic,103.5
Philadelphia 76ers,104.2
Phoenix Suns,102.8
Portland Trail Blazers,104.1
Sacramento Kings,99.9
San Antonio Spurs,104.6
Toronto Raptors,109.8
Utah Jazz,104.3
Washington Wizards,106.8
